PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection		PulseInjection	
Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_UV1_280nm		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Cond		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_pH		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Pressure		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Flow		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Inject		Pulse Inj 141cmhr TF21JUN2016A003:PulseInjection_Logbook	
min	 mAU	min	 mS/cm	min	 	min	 MPa	min	 ml/min	min	(Injections)	min	(Set Marks)
0	-0.199	0	87.028	0	5.73	0	0.25	0	3.15	0	" ""3"""	-0.008	" ""Block Pulse_Injection"""
0.007	-0.212	0.008	87.028	0.017	5.73	0.008	0.24	0.008	3.15	0.023	" ""3"""	-0.008	" ""Base Volume {ml}"""
0.013	-0.24	0.017	87.022	0.033	5.73	0.017	0.25	0.017	3.15	         	            	-0.008	" ""InjectionMark """
0.02	-0.264	0.025	87.022	0.05	5.73	0.025	0.26	0.025	3.15	         	            	-0.008	" ""InjectionValve Inject """
0.027	-0.274	0.033	87.025	0.067	5.73	0.033	0.27	0.033	3.15	         	            	0.15	" ""End Block"""
0.033	-0.263	0.042	87.025	0.083	5.73	0.042	0.26	0.042	3.15	         	            	0.15	" ""InjectionValve Load """
0.04	-0.242	0.05	87.023	0.1	5.73	0.05	0.25	0.05	3.15	         	            	0.17	" ""Flow     4.72 ml/min"""
0.047	-0.231	0.058	87.023	0.117	5.73	0.058	0.26	0.058	3.15	         	            	12.633	" ""OutletValve F4  (Manual)"""
0.053	-0.222	0.067	87.003	0.133	5.73	0.067	0.27	0.067	3.15	         	            	16.143	" ""End Block"""
0.06	-0.213	0.075	87.003	0.15	5.73	0.075	0.27	0.075	3.15	         	            	         	            
0.067	-0.204	0.083	86.984	0.167	5.73	0.083	0.27	0.083	3.15	         	            	         	            
0.073	-0.207	0.092	86.984	0.183	5.73	0.092	0.27	0.092	3.15	         	            	         	            
0.08	-0.216	0.1	86.989	0.2	5.73	0.1	0.26	0.1	3.15	         	            	         	            
0.087	-0.219	0.108	86.989	0.217	5.73	0.108	0.27	0.108	3.15	         	            	         	            
0.093	-0.215	0.117	87.004	0.233	5.73	0.117	0.26	0.117	3.15	         	            	         	            
0.1	-0.201	0.125	87.004	0.25	5.73	0.125	0.25	0.125	3.15	         	            	         	            
0.107	-0.192	0.133	87.01	0.267	5.73	0.133	0.24	0.133	3.15	         	            	         	            
0.113	-0.2	0.142	87.01	0.283	5.73	0.142	0.25	0.142	3.15	         	            	         	            
0.12	-0.206	0.15	86.999	0.3	5.73	0.15	0.25	0.15	3.15	         	            	         	            
0.127	-0.212	0.158	86.999	0.317	5.73	0.158	0.25	0.158	3.15	         	            	         	            
0.133	-0.22	0.167	86.984	0.333	5.73	0.167	0.25	0.167	3.15	         	            	         	            
0.14	-0.228	0.175	86.984	0.35	5.73	0.175	0.26	0.175	3.15	         	            	         	            
0.147	-0.25	0.183	86.978	0.367	5.73	0.183	0.25	0.183	4.72	         	            	         	            
0.153	-0.252	0.192	86.978	0.383	5.73	0.192	0.26	0.192	4.72	         	            	         	            
0.16	-0.243	0.2	86.962	0.4	5.73	0.2	0.28	0.2	4.72	         	            	         	            
0.167	-0.24	0.208	86.962	0.417	5.73	0.208	0.3	0.208	4.72	         	            	         	            
0.173	-0.242	0.217	86.923	0.433	5.73	0.217	0.3	0.217	4.72	         	            	         	            
0.18	-0.244	0.225	86.923	0.45	5.73	0.225	0.3	0.225	4.72	         	            	         	            
0.187	-0.23	0.233	86.9	0.467	5.73	0.233	0.31	0.233	4.72	         	            	         	            
0.193	-0.22	0.242	86.9	0.483	5.73	0.242	0.32	0.242	4.72	         	            	         	            
0.2	-0.218	0.25	86.904	0.5	5.73	0.25	0.32	0.25	4.72	         	            	         	            
0.207	-0.205	0.258	86.904	0.517	5.73	0.258	0.32	0.258	4.72	         	            	         	            
0.213	-0.183	0.267	86.925	0.533	5.73	0.267	0.31	0.267	4.72	         	            	         	            
