Prod001 27APR2015:10_UV1_280nm	0	Prod001 27APR2015:10_Cond	0	Prod001 27APR2015:10_Conc	0	Prod001 27APR2015:10_Flow	0	Prod001 27APR2015:10_pH	0	Prod001 27APR2015:10_Temp	0	Prod001 27APR2015:10_Fractions	0	Prod001 27APR2015:10_Logbook	0
min	 mAU	min	 mS/cm	min	 %B	min	 ml/min	min	 	min	 C	min	(Fractions)	min	(Set Marks)
0.226	-0.07	0	1.83	0	0	0	32.6	0	4.85	0	24	0.077	" ""Waste"""	-102.05	" ""Method Run 5/1/2015, 6:43:51 AM Mountain Daylight Time, Method"""
0.6	0.092	0.4	1.95	0.4	0	0.4	32.6	0.4	4.88	0.4	23.9	37.327	" ""Waste"""	-102.05	" ""User default in control of the run"""
0.973	0.107	0.8	1.856	0.8	0	0.8	32.6	0.8	4.86	0.8	23.7	62.79	" ""Waste"""	-102.05	" ""Batch ID: 1"""
1.346	0.145	1.2	1.833	1.2	0	1.2	32.6	1.2	4.85	1.2	23.7	62.855	" ""Waste"""	-102.05	" ""Base CV, 518.36 {ml}, Prod001_Example_Run"""
1.72	0.156	1.6	1.831	1.6	0	1.6	32.6	1.6	4.85	1.6	23.6	62.98	" ""Waste"""	-102.002	" ""Gradient     0.00 %B,    0.000 CV"""
2.093	0.117	2	1.83	2	0	2	32.6	2	4.85	2	23.6	74.515	" ""Waste"""	-102.002	" ""Alarm_Press2 Enabled ,     0.25 MPa,     0.00 MPa,  4 sec"""
2.466	0.135	2.4	1.828	2.4	0	2.4	32.6	2.4	4.85	2.4	23.6	78.857	" ""Waste"""	-102.002	" ""Alarm_AirSensor1 Disabled"""
2.84	0.133	2.8	1.826	2.8	0	2.8	32.6	2.8	4.85	2.8	23.6	78.918	" ""Waste"""	-102.002	" ""Alarm_AirSensor2 Disabled"""
3.213	0.123	3.2	1.825	3.2	0	3.2	32.6	3.2	4.85	3.2	23.6	102.113	" ""Waste"""	-102.002	" ""Airtrap_Filter Inline """
3.586	0.152	3.6	1.825	3.6	0	3.6	32.6	3.6	4.85	3.6	23.6	169.212	" ""Waste"""	-102.002	" ""Block Flush_0_1N"""
3.96	0.181	4	1.823	4	0	4	32.6	4	4.85	4	23.6	193.162	" ""F2"""	-102.002	" ""Base SameAsMain"""
4.333	0.154	4.4	1.822	4.4	0	4.4	32.6	4.4	4.85	4.4	23.5	216.99	" ""F2"""	-102.002	" ""InletA InletA1 """
4.706	0.166	4.8	1.821	4.8	0	4.8	32.6	4.8	4.85	4.8	23.5	301.618	" ""F2"""	-102.002	" ""Columns Col1BypassCol2Bypass """
5.08	0.146	5.2	1.821	5.2	0	5.2	32.6	5.2	4.85	5.2	23.5	319.235	" ""F2"""	-101.99	" ""Gradient 0%B set  1    """
5.453	0.15	5.6	1.826	5.6	0	5.6	32.6	5.6	4.86	5.6	23.5		            	-102.002	" ""Outlet WasteF1 """
5.826	0.127	6	1.817	6	0	6	32.6	6	4.89	6	23.5		            	-101.982	" ""Alarm_AirSensor1 Disabled"""
6.2	0.143	6.4	1.816	6.4	0	6.4	32.6	6.4	4.86	6.4	23.5		            	-101.982	" ""Flow     67.0 ml/min"""
6.573	0.142	6.8	1.815	6.8	0	6.8	32.6	6.8	4.85	6.8	23.5		            	-98.838	" ""Columns Col1Bypass_Col2Down """
6.946	0.092	7.2	1.814	7.2	0	7.2	32.6	7.2	4.85	7.2	23.5		            	-98.838	" ""0.1N NaOH"""
7.32	0.111	7.6	1.814	7.6	0	7.6	32.6	7.6	4.85	7.6	23.5		            	-98.838	" ""Alarm_AirSensor1 Enabled"""
7.693	0.093	8	1.813	8	0	8	32.6	8	4.85	8	23.5		            	-83.365	" ""End Block"""
8.066	0.104	8.4	1.813	8.4	0	8.4	32.6	8.4	4.85	8.4	23.5		            	-83.365	" ""Block Sani_1_0N"""
8.44	0.087	8.8	1.812	8.8	0	8.8	32.6	8.8	4.85	8.8	23.5		            	-83.365	" ""Base SameAsMain"""
8.813	0.119	9.2	1.81	9.2	0	9.2	32.6	9.2	4.85	9.2	23.5		            	-83.365	" ""Columns Col1BypassCol2Bypass """
9.186	0.089	9.6	1.81	9.6	0	9.6	32.6	9.6	4.85	9.6	23.5		            	-83.365	" ""InletA InletA2 """
9.56	0.115	10	1.81	10	0	10	32.6	10	4.85	10	23.5		            	-83.365	" ""Alarm_AirSensor1 Disabled"""
9.933	0.114	10.4	1.814	10.4	0	10.4	32.6	10.4	4.85	10.4	23.5		            	-80.27	" ""Columns Col1Bypass_Col2Down """
10.306	0.082	10.8	1.824	10.8	0	10.8	32.6	10.8	4.85	10.8	23.5		            	-80.27	" ""Alarm_AirSensor1 Enabled"""
10.68	0.104	11.2	1.831	11.2	0	11.2	32.6	11.2	4.85	11.2	23.5		            	-80.27	" ""1.0N NaOH"""
11.053	0.072	11.6	1.837	11.6	0	11.6	32.6	11.6	4.85	11.6	23.5		            	-64.797	" ""Pause     30.0 5/1/2015, 7:21:04 AM"""
11.426	0.06	12	1.855	12	0	12	32.6	12	4.85	12	23.5		            	-64.797	" ""Continue 5/1/2015, 7:51:03 AM (System)"""
11.8	0.005	12.4	1.87	12.4	0	12.4	32.6	12.4	4.85	12.4	23.5		            	-64.773	" ""Gradient 0%B set  1    """
12.173	0.086	12.8	1.86	12.8	0	12.8	32.6	12.8	4.85	12.8	23.5		            	-56.972	" ""End Block"""
12.546	0.101	13.2	1.836	13.2	0	13.2	32.6	13.2	4.85	13.2	23.5		            	-56.972	" ""Block Flush2_0_1N"""
12.92	0.109	13.6	1.818	13.6	0	13.6	32.6	13.6	4.85	13.6	23.5		            	-56.972	" ""Base SameAsMain"""
13.293	0.146	14	1.814	14	0	14	32.6	14	4.85	14	23.5		            	-56.972	" ""InletA InletA1 """
13.666	0.157	14.4	1.831	14.4	0	14.4	32.6	14.4	4.83	14.4	23.5		            	-56.972	" ""0.1N NaOH"""
14.04	0.192	14.8	1.871	14.8	0	14.8	32.6	14.8	4.81	14.8	23.5		            	-41.497	" ""End Block"""
14.413	0.243	15.2	1.932	15.2	0	15.2	32.6	15.2	4.79	15.2	23.5		            	-41.497	" ""Block Pre_Equil_1MAcetate_1MNaCl"""
14.786	0.273	15.6	2.024	15.6	0	15.6	32.6	15.6	4.78	15.6	23.5		            	-41.497	" ""Base SameAsMain"""
15.16	0.312	16	2.16	16	0	16	32.6	16	4.76	16	23.5		            	-41.497	" ""InletA InletA3 """
15.533	0.341	16.4	2.327	16.4	0	16.4	32.6	16.4	4.74	16.4	23.5		            	-41.477	" ""Columns Col1BypassCol2Bypass """
15.906	0.468	16.8	2.492	16.8	0	16.8	32.6	16.8	4.74	16.8	23.5		            	-41.477	" ""Alarm_AirSensor1 Disabled"""
16.28	0.516	17.2	2.637	17.2	0	17.2	32.6	17.2	4.74	17.2	23.5		            	-41.477	" ""Flow    100.0 ml/min"""
16.653	0.564	17.6	2.754	17.6	0	17.6	32.6	17.6	4.74	17.6	23.5		            	-39.402	" ""Alarm_AirSensor1 Enabled"""
17.026	0.63	18	2.845	18	0	18	32.6	18	4.74	18	23.5		            	-39.402	" ""Flow     67.0 ml/min"""
17.4	0.635	18.4	2.913	18.4	0	18.4	32.6	18.4	4.72	18.4	23.5		            	-39.402	" ""Columns Col1Bypass_Col2Down """
17.773	0.69	18.8	2.964	18.8	0	18.8	32.6	18.8	4.72	18.8	23.5		            	-39.402	" ""Pre-Equil"""
18.146	0.718	19.2	3.002	19.2	0	19.2	32.6	19.2	4.7	19.2	23.5			-39.3	" ""Gradient 0%B set  1    """
18.52	0.71	19.6	3.029	19.6	0	19.6	32.6	19.6	4.7	19.6	23.5			-27.605	" ""End Block"""
18.893	0.721	20	3.05	20	0	20	32.6	20	4.68	20	23.5			-27.605	" ""Block Equil_20Acetate"""
19.266	0.746	20.4	3.06	20.4	0	20.4	32.6	20.4	4.67	20.4	23.6			-27.605	" ""Base SameAsMain"""
19.64	0.769	20.8	3.063	20.8	0	20.8	32.6	20.8	4.65	20.8	23.6			-27.605	" ""InletB InletB1 """
20.013	0.768	21.2	3.066	21.2	0	21.2	32.6	21.2	4.63	21.2	23.6			-27.605	" ""Airtrap_Filter Bypass """
20.386	0.734	21.6	3.068	21.6	0	21.6	32.6	21.6	4.61	21.6	23.6			-27.605	" ""Flow    100.0 ml/min"""
