10		10		10		10		10		10		10	
SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_UV1_280nm		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Cond		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Conc		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_pH		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Flow		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Fractions		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
   0.000	   -0.063000	   0.067	    1.858000	   0.067	    0.000000	   0.067	    5.470000	   0.067	    0.000000	  35.560	 "F3"	   0.000	 "Method Run 10/26/2016, 8:59:22 AM Mountain Daylight Time, Method : Betass"
   0.320	    1.655000	   0.367	   18.176000	   0.367	    0.000000	   0.367	    5.590000	   0.367	    6.430000	  47.468	 "F4"	   0.000	 "User default in control of the run"
   0.640	    2.467000	   0.667	   21.889000	   0.667	    0.000000	   0.667	   11.970000	   0.667	    6.430000	 122.043	 "F5"	   0.000	 "Batch ID: E5CEF45D-9BB5-4F1E-8F26-8F41BA9B93DE"
   0.960	    2.288000	   0.967	   21.967000	   0.967	    0.000000	   0.967	   11.920000	   0.967	    6.430000	 130.027	 "Waste"	   0.000	 "Base CV, 50.27 {ml}, XK16_SP_Seph_FF_16/25"
   1.280	    2.232000	   1.267	   22.000000	   1.267	    0.000000	   1.267	   11.900000	   1.267	    6.430000	 153.960	 "F2"	   0.048	 "Alarm_Pressure Enabled ,     0.50 MPa,     0.00 MPa"
   1.600	    2.184000	   1.567	   22.011000	   1.567	    0.000000	   1.567	   11.900000	   1.567	    6.430000	 154.005	 "A1"	   0.048	 "Block Start_Conditions"
   1.920	    2.269000	   1.867	   22.036000	   1.867	    0.000000	   1.867	   11.900000	   1.867	    6.430000	 158.768	 "A2"	   0.048	 "Base SameAsMain"
